num_node,k,var_heuristic,domain_heuristic,forward_checking,iteration,solution,nodes_visited,time
3,3,Simple Variable,Simple Value,False,0,6,16,5.6743621826171875e-05
3,3,Simple Variable,Simple Value,False,1,6,16,4.6253204345703125e-05
3,3,Simple Variable,Simple Value,False,2,6,16,4.9114227294921875e-05
3,3,Simple Variable,Simple Value,False,3,6,16,4.4345855712890625e-05
3,3,Simple Variable,Simple Value,False,4,6,16,4.696846008300781e-05
3,3,Simple Variable,Least Constrained Value,False,0,6,16,0.00015401840209960938
3,3,Simple Variable,Least Constrained Value,False,1,6,16,0.0002033710479736328
3,3,Simple Variable,Least Constrained Value,False,2,6,16,0.00013971328735351562
3,3,Simple Variable,Least Constrained Value,False,3,6,16,0.0001430511474609375
3,3,Simple Variable,Least Constrained Value,False,4,6,16,0.0001430511474609375
3,3,Most Constrained Variable,Simple Value,False,0,6,16,5.14984130859375e-05
3,3,Most Constrained Variable,Simple Value,False,1,6,16,5.078315734863281e-05
3,3,Most Constrained Variable,Simple Value,False,2,6,16,5.269050598144531e-05
3,3,Most Constrained Variable,Simple Value,False,3,6,16,5.173683166503906e-05
3,3,Most Constrained Variable,Simple Value,False,4,6,16,5.030632019042969e-05
3,3,Most Constrained Variable,Least Constrained Value,False,0,6,16,0.0002071857452392578
3,3,Most Constrained Variable,Least Constrained Value,False,1,6,16,0.0001537799835205078
3,3,Most Constrained Variable,Least Constrained Value,False,2,6,16,0.000156402587890625
3,3,Most Constrained Variable,Least Constrained Value,False,3,6,16,0.00015234947204589844
3,3,Most Constrained Variable,Least Constrained Value,False,4,6,16,0.00015425682067871094
3,4,Simple Variable,Simple Value,False,0,24,41,0.00010204315185546875
3,4,Simple Variable,Simple Value,False,1,24,41,0.00010514259338378906
3,4,Simple Variable,Simple Value,False,2,24,41,0.00010013580322265625
3,4,Simple Variable,Simple Value,False,3,24,41,0.0001347064971923828
3,4,Simple Variable,Simple Value,False,4,24,41,0.0001010894775390625
3,4,Simple Variable,Least Constrained Value,False,0,24,41,0.00031304359436035156
3,4,Simple Variable,Least Constrained Value,False,1,24,41,0.00031113624572753906
3,4,Simple Variable,Least Constrained Value,False,2,24,41,0.00031065940856933594
3,4,Simple Variable,Least Constrained Value,False,3,24,41,0.00031304359436035156
3,4,Simple Variable,Least Constrained Value,False,4,24,41,0.00031256675720214844
3,4,Most Constrained Variable,Simple Value,False,0,24,41,0.00011038780212402344
3,4,Most Constrained Variable,Simple Value,False,1,24,41,0.00010919570922851562
3,4,Most Constrained Variable,Simple Value,False,2,24,41,0.00011086463928222656
3,4,Most Constrained Variable,Simple Value,False,3,24,41,0.00011277198791503906
3,4,Most Constrained Variable,Simple Value,False,4,24,41,0.00011205673217773438
3,4,Most Constrained Variable,Least Constrained Value,False,0,24,41,0.00033473968505859375
3,4,Most Constrained Variable,Least Constrained Value,False,1,24,41,0.00039577484130859375
3,4,Most Constrained Variable,Least Constrained Value,False,2,24,41,0.0003762245178222656
3,4,Most Constrained Variable,Least Constrained Value,False,3,24,41,0.0003235340118408203
3,4,Most Constrained Variable,Least Constrained Value,False,4,24,41,0.00032401084899902344
4,3,Simple Variable,Simple Value,False,0,6,31,0.00011920928955078125
4,3,Simple Variable,Simple Value,False,1,0,16,7.82012939453125e-05
4,3,Simple Variable,Simple Value,False,2,6,22,7.772445678710938e-05
4,3,Simple Variable,Simple Value,False,3,6,22,7.367134094238281e-05
4,3,Simple Variable,Simple Value,False,4,6,31,0.00011754035949707031
4,3,Simple Variable,Least Constrained Value,False,0,6,28,0.000392913818359375
4,3,Simple Variable,Least Constrained Value,False,1,6,28,0.0003902912139892578
4,3,Simple Variable,Least Constrained Value,False,2,0,16,0.00030040740966796875
4,3,Simple Variable,Least Constrained Value,False,3,6,22,0.0002865791320800781
4,3,Simple Variable,Least Constrained Value,False,4,6,28,0.0004012584686279297
4,3,Most Constrained Variable,Simple Value,False,0,6,22,8.559226989746094e-05
4,3,Most Constrained Variable,Simple Value,False,1,0,16,8.535385131835938e-05
4,3,Most Constrained Variable,Simple Value,False,2,6,22,8.797645568847656e-05
4,3,Most Constrained Variable,Simple Value,False,3,6,22,8.511543273925781e-05
4,3,Most Constrained Variable,Simple Value,False,4,0,16,8.559226989746094e-05
4,3,Most Constrained Variable,Least Constrained Value,False,0,6,28,0.0004119873046875
4,3,Most Constrained Variable,Least Constrained Value,False,1,6,22,0.00030112266540527344
4,3,Most Constrained Variable,Least Constrained Value,False,2,0,16,0.0003147125244140625
4,3,Most Constrained Variable,Least Constrained Value,False,3,0,16,0.0003147125244140625
4,3,Most Constrained Variable,Least Constrained Value,False,4,6,28,0.0006561279296875
4,4,Simple Variable,Simple Value,False,0,48,101,0.0003819465637207031
4,4,Simple Variable,Simple Value,False,1,48,105,0.0004124641418457031
4,4,Simple Variable,Simple Value,False,2,48,101,0.0006947517395019531
4,4,Simple Variable,Simple Value,False,3,24,65,0.0002739429473876953
4,4,Simple Variable,Simple Value,False,4,48,89,0.0003714561462402344
4,4,Simple Variable,Least Constrained Value,False,0,48,89,0.0009822845458984375
4,4,Simple Variable,Least Constrained Value,False,1,24,65,0.001148223876953125
4,4,Simple Variable,Least Constrained Value,False,2,48,105,0.00148773193359375
4,4,Simple Variable,Least Constrained Value,False,3,48,105,0.0013594627380371094
4,4,Simple Variable,Least Constrained Value,False,4,48,89,0.0010187625885009766
4,4,Most Constrained Variable,Simple Value,False,0,48,101,0.0003745555877685547
4,4,Most Constrained Variable,Simple Value,False,1,24,65,0.0002970695495605469
4,4,Most Constrained Variable,Simple Value,False,2,48,89,0.00027751922607421875
4,4,Most Constrained Variable,Simple Value,False,3,48,89,0.0003383159637451172
4,4,Most Constrained Variable,Simple Value,False,4,48,89,0.00032591819763183594
4,4,Most Constrained Variable,Least Constrained Value,False,0,48,105,0.0014641284942626953
4,4,Most Constrained Variable,Least Constrained Value,False,1,48,89,0.0009801387786865234
4,4,Most Constrained Variable,Least Constrained Value,False,2,24,65,0.0010743141174316406
4,4,Most Constrained Variable,Least Constrained Value,False,3,48,101,0.0013492107391357422
4,4,Most Constrained Variable,Least Constrained Value,False,4,48,89,0.001008749008178711
5,3,Simple Variable,Simple Value,False,0,0,28,0.00013065338134765625
5,3,Simple Variable,Simple Value,False,1,0,16,8.225440979003906e-05
5,3,Simple Variable,Simple Value,False,2,6,61,0.0002701282501220703
5,3,Simple Variable,Simple Value,False,3,0,16,8.678436279296875e-05
5,3,Simple Variable,Simple Value,False,4,6,28,0.00010466575622558594
5,3,Simple Variable,Least Constrained Value,False,0,6,40,0.0007796287536621094
5,3,Simple Variable,Least Constrained Value,False,1,0,34,0.0007715225219726562
5,3,Simple Variable,Least Constrained Value,False,2,6,28,0.0005054473876953125
5,3,Simple Variable,Least Constrained Value,False,3,6,46,0.0009090900421142578
5,3,Simple Variable,Least Constrained Value,False,4,6,49,0.0010247230529785156
5,3,Most Constrained Variable,Simple Value,False,0,6,40,0.00018668174743652344
5,3,Most Constrained Variable,Simple Value,False,1,6,28,0.00012254714965820312
5,3,Most Constrained Variable,Simple Value,False,2,0,16,9.322166442871094e-05
5,3,Most Constrained Variable,Simple Value,False,3,0,37,0.0002048015594482422
5,3,Most Constrained Variable,Simple Value,False,4,0,22,0.0001227855682373047
5,3,Most Constrained Variable,Least Constrained Value,False,0,0,34,0.0009293556213378906
5,3,Most Constrained Variable,Least Constrained Value,False,1,6,37,0.0007305145263671875
5,3,Most Constrained Variable,Least Constrained Value,False,2,0,31,0.0008134841918945312
5,3,Most Constrained Variable,Least Constrained Value,False,3,6,28,0.0004932880401611328
5,3,Most Constrained Variable,Least Constrained Value,False,4,6,28,0.0004978179931640625
5,4,Simple Variable,Simple Value,False,0,48,137,0.0005741119384765625
5,4,Simple Variable,Simple Value,False,1,48,153,0.0007138252258300781
5,4,Simple Variable,Simple Value,False,2,48,161,0.0007252693176269531
5,4,Simple Variable,Simple Value,False,3,96,197,0.0006558895111083984
5,4,Simple Variable,Simple Value,False,4,72,161,0.0005934238433837891
5,4,Simple Variable,Least Constrained Value,False,0,72,161,0.0026988983154296875
5,4,Simple Variable,Least Constrained Value,False,1,96,273,0.00520777702331543
5,4,Simple Variable,Least Constrained Value,False,2,96,185,0.0026013851165771484
5,4,Simple Variable,Least Constrained Value,False,3,24,89,0.002150297164916992
5,4,Simple Variable,Least Constrained Value,False,4,72,209,0.0042841434478759766
5,4,Most Constrained Variable,Simple Value,False,0,72,161,0.0006501674652099609
5,4,Most Constrained Variable,Simple Value,False,1,96,273,0.0013418197631835938
5,4,Most Constrained Variable,Simple Value,False,2,72,161,0.0006420612335205078
5,4,Most Constrained Variable,Simple Value,False,3,96,201,0.0007927417755126953
5,4,Most Constrained Variable,Simple Value,False,4,48,185,0.001020193099975586
5,4,Most Constrained Variable,Least Constrained Value,False,0,24,113,0.002991914749145508
5,4,Most Constrained Variable,Least Constrained Value,False,1,72,173,0.0031442642211914062
5,4,Most Constrained Variable,Least Constrained Value,False,2,72,209,0.004288911819458008
5,4,Most Constrained Variable,Least Constrained Value,False,3,72,161,0.0027806758880615234
5,4,Most Constrained Variable,Least Constrained Value,False,4,96,201,0.0031082630157470703
6,3,Simple Variable,Simple Value,False,0,0,34,0.00016689300537109375
6,3,Simple Variable,Simple Value,False,1,6,46,0.00018978118896484375
6,3,Simple Variable,Simple Value,False,2,6,49,0.00022149085998535156
6,3,Simple Variable,Simple Value,False,3,6,94,0.00041937828063964844
6,3,Simple Variable,Simple Value,False,4,0,16,8.273124694824219e-05
6,3,Simple Variable,Least Constrained Value,False,0,6,67,0.0015337467193603516
6,3,Simple Variable,Least Constrained Value,False,1,0,40,0.0010616779327392578
6,3,Simple Variable,Least Constrained Value,False,2,0,34,0.0009746551513671875
6,3,Simple Variable,Least Constrained Value,False,3,6,64,0.0015461444854736328
6,3,Simple Variable,Least Constrained Value,False,4,0,22,0.0006258487701416016
6,3,Most Constrained Variable,Simple Value,False,0,0,43,0.0002574920654296875
6,3,Most Constrained Variable,Simple Value,False,1,0,22,0.0001506805419921875
6,3,Most Constrained Variable,Simple Value,False,2,0,28,0.0001723766326904297
6,3,Most Constrained Variable,Simple Value,False,3,6,55,0.0002818107604980469
6,3,Most Constrained Variable,Simple Value,False,4,6,40,0.00019168853759765625
6,3,Most Constrained Variable,Least Constrained Value,False,0,6,40,0.0010461807250976562
6,3,Most Constrained Variable,Least Constrained Value,False,1,0,76,0.0022025108337402344
6,3,Most Constrained Variable,Least Constrained Value,False,2,0,82,0.002279043197631836
6,3,Most Constrained Variable,Least Constrained Value,False,3,6,73,0.0018718242645263672
6,3,Most Constrained Variable,Least Constrained Value,False,4,6,76,0.0018765926361083984
6,4,Simple Variable,Simple Value,False,0,192,389,0.0014019012451171875
6,4,Simple Variable,Simple Value,False,1,96,381,0.001964092254638672
6,4,Simple Variable,Simple Value,False,2,96,309,0.0014560222625732422
6,4,Simple Variable,Simple Value,False,3,120,297,0.0012118816375732422
6,4,Simple Variable,Simple Value,False,4,96,525,0.003014802932739258
6,4,Simple Variable,Least Constrained Value,False,0,72,281,0.007725238800048828
6,4,Simple Variable,Least Constrained Value,False,1,48,161,0.004178762435913086
6,4,Simple Variable,Least Constrained Value,False,2,96,281,0.006494760513305664
6,4,Simple Variable,Least Constrained Value,False,3,48,369,0.011899471282958984
6,4,Simple Variable,Least Constrained Value,False,4,48,321,0.010265588760375977
6,4,Most Constrained Variable,Simple Value,False,0,72,293,0.0016257762908935547
6,4,Most Constrained Variable,Simple Value,False,1,192,413,0.0015506744384765625
6,4,Most Constrained Variable,Simple Value,False,2,192,417,0.0015749931335449219
6,4,Most Constrained Variable,Simple Value,False,3,48,317,0.001997709274291992
6,4,Most Constrained Variable,Simple Value,False,4,96,473,0.002695322036743164
6,4,Most Constrained Variable,Least Constrained Value,False,0,144,305,0.005780696868896484
6,4,Most Constrained Variable,Least Constrained Value,False,1,192,617,0.014680147171020508
6,4,Most Constrained Variable,Least Constrained Value,False,2,144,365,0.008034944534301758
6,4,Most Constrained Variable,Least Constrained Value,False,3,96,257,0.0063629150390625
6,4,Most Constrained Variable,Least Constrained Value,False,4,120,321,0.007380247116088867
7,3,Simple Variable,Simple Value,False,0,0,73,0.0003597736358642578
7,3,Simple Variable,Simple Value,False,1,6,118,0.0005567073822021484
7,3,Simple Variable,Simple Value,False,2,0,97,0.00047087669372558594
7,3,Simple Variable,Simple Value,False,3,0,34,0.00017952919006347656
7,3,Simple Variable,Simple Value,False,4,0,70,0.00033545494079589844
7,3,Simple Variable,Least Constrained Value,False,0,0,64,0.0021216869354248047
7,3,Simple Variable,Least Constrained Value,False,1,0,58,0.0017790794372558594
7,3,Simple Variable,Least Constrained Value,False,2,0,46,0.0015006065368652344
7,3,Simple Variable,Least Constrained Value,False,3,0,97,0.0030298233032226562
7,3,Simple Variable,Least Constrained Value,False,4,0,34,0.0011241436004638672
7,3,Most Constrained Variable,Simple Value,False,0,0,46,0.00026917457580566406
7,3,Most Constrained Variable,Simple Value,False,1,0,55,0.00037407875061035156
7,3,Most Constrained Variable,Simple Value,False,2,0,52,0.0003097057342529297
7,3,Most Constrained Variable,Simple Value,False,3,6,91,0.0012698173522949219
7,3,Most Constrained Variable,Simple Value,False,4,0,67,0.000431060791015625
7,3,Most Constrained Variable,Least Constrained Value,False,0,0,34,0.0011515617370605469
7,3,Most Constrained Variable,Least Constrained Value,False,1,0,46,0.0014882087707519531
7,3,Most Constrained Variable,Least Constrained Value,False,2,0,52,0.0020084381103515625
7,3,Most Constrained Variable,Least Constrained Value,False,3,0,22,0.0007789134979248047
7,3,Most Constrained Variable,Least Constrained Value,False,4,0,40,0.0014595985412597656
7,4,Simple Variable,Simple Value,False,0,72,525,0.0032155513763427734
7,4,Simple Variable,Simple Value,False,1,168,593,0.002925395965576172
7,4,Simple Variable,Simple Value,False,2,144,437,0.0020589828491210938
7,4,Simple Variable,Simple Value,False,3,48,185,0.0010035037994384766
7,4,Simple Variable,Simple Value,False,4,72,853,0.00561976432800293
7,4,Simple Variable,Least Constrained Value,False,0,96,617,0.023397445678710938
7,4,Simple Variable,Least Constrained Value,False,1,144,609,0.020358562469482422
7,4,Simple Variable,Least Constrained Value,False,2,288,1041,0.03130173683166504
7,4,Simple Variable,Least Constrained Value,False,3,168,497,0.013670921325683594
7,4,Simple Variable,Least Constrained Value,False,4,120,513,0.017167329788208008
7,4,Most Constrained Variable,Simple Value,False,0,144,489,0.002641916275024414
7,4,Most Constrained Variable,Simple Value,False,1,144,877,0.0056116580963134766
7,4,Most Constrained Variable,Simple Value,False,2,168,741,0.004342555999755859
7,4,Most Constrained Variable,Simple Value,False,3,168,665,0.0038039684295654297
7,4,Most Constrained Variable,Simple Value,False,4,120,425,0.002202749252319336
7,4,Most Constrained Variable,Least Constrained Value,False,0,144,621,0.021445035934448242
7,4,Most Constrained Variable,Least Constrained Value,False,1,96,737,0.027811050415039062
7,4,Most Constrained Variable,Least Constrained Value,False,2,24,137,0.005295753479003906
7,4,Most Constrained Variable,Least Constrained Value,False,3,240,845,0.025556087493896484
